municipality_code,state_code,year,total_hospitalizations,total_deaths,population,avg_wage_nominal,literacy_rate,pct_black_parda
211400,21,2008,2339,173,46290,689.932022587265,80.4,0.7912464623111571
220030,22,2008,696,65,14004,700.248597883598,73.9,0.7844947607532791
220040,22,2008,2723,202,39430,702.0014058053501,78.3,0.836849290369111
220050,22,2008,1648,73,17813,750.6648113207533,76.9,0.8680555555555556
220060,22,2008,341,29,6798,733.6620000000007,79.4,0.7831560017982916
220070,22,2008,414,36,8434,675.0978658536587,74.8,0.7428288822947576
220080,22,2008,105,16,3231,696.4774045801524,80.7,0.7792763157894737
220100,22,2008,305,18,5145,611.8085534591208,74.5,0.8426103646833013
220110,22,2008,492,46,11840,555.8769945355198,79.5,0.7171123960968558
220115,22,2008,140,29,10531,992.4625541795674,83.8,0.7832081392031949
220117,22,2008,155,25,3882,485.03556390977445,74.2,0.7773163768492084
220120,22,2008,3714,188,44574,582.4912846803369,74.6,0.8374172259258433
220130,22,2008,51,16,3452,679.0374603174599,81.9,0.7956723338485316
220140,22,2008,268,31,6852,470.3233526011588,76,0.7988801452784504
220155,22,2008,91,8,3725,600.8466438356171,84,0.3217782482138132
220157,22,2008,128,10,2869,782.4643749999997,69.5,0.6800608828006088
220177,22,2008,287,24,6262,432.778474576273,72.2,0.82626647609973
220180,22,2008,443,33,4155,470.3631896551737,80.8,0.5979405034324943
220190,22,2008,1885,104,20100,651.3627047913458,84.4,0.7528943879805567
220194,22,2008,504,18,6508,483.175,72.4,0.898611559573781
220198,22,2008,193,19,3983,590.9905797101441,67.6,0.8117372111139963
220200,22,2008,2045,114,19700,690.8571555555554,76.2,0.7542332896461337
220202,22,2008,329,34,8046,662.7954838709683,76.3,0.816050156739812
220205,22,2008,553,51,9710,724.62304964539,74,0.848927384429449
220207,22,2008,155,13,3285,553.5106666666679,76.1,0.8803827751196173
220210,22,2008,217,29,5759,730.9408370044055,78.7,0.8728045849510075
220211,22,2008,151,17,4579,554.589379844962,70.6,0.661908819769919
220213,22,2008,484,22,5808,684.36953307393,69.1,0.7403897729304488
220217,22,2008,300,28,6920,450.9161849711001,68.8,0.894620811287478
220220,22,2008,4446,279,45827,595.2723128172566,81.5,0.8163929346141927
220230,22,2008,1869,106,20557,689.6921477832516,74.7,0.7375755456770391
220245,22,2008,196,22,3977,481.3162595419846,73,0.6705336426914154
220250,22,2008,767,42,10643,656.1662500000002,69.3,0.7318123959659257
220253,22,2008,305,21,5526,641.3107843137261,67.5,0.7638436482084691
